seed,target_factor,layer,source_patch,phase,phase_name,conflict_n,follow,policy_change,outcome_change_mae
16140,beneficiary,1,entities,1,allocation,372,0.0,0.0,0.0032485164701938
16140,beneficiary,1,entities,2,protection,0,,0.0,0.0018487861379981
16140,beneficiary,1,entities,3,integrated,271,0.0,0.0,0.0017618889687582
16140,beneficiary,1,phase0,0,continuity,0,,0.0,0.0008373407181352
16140,beneficiary,1,phase0,1,allocation,372,0.0,0.0,0.0004055117315147
16140,beneficiary,1,phase0,2,protection,0,,0.0,6.622244109166786e-05
16140,beneficiary,1,phase0,3,integrated,271,0.0,0.0,4.39353498222772e-05
16140,beneficiary,1,phase1,0,continuity,0,,0.0,0.0004393875133246
16140,beneficiary,1,phase1,1,allocation,372,0.3924731182795699,0.354,0.1307394802570343
16140,beneficiary,1,phase1,2,protection,0,,0.0,0.0048210420645773
16140,beneficiary,1,phase1,3,integrated,271,0.0,0.0,0.0022247061133384
16140,beneficiary,1,phase2,0,continuity,0,,0.0,1.195803633891046e-05
16140,beneficiary,1,phase2,1,allocation,372,0.0,0.0,0.0012398938415572
16140,beneficiary,1,phase2,2,protection,0,,0.0,0.0019955330062657
16140,beneficiary,1,phase2,3,integrated,271,0.0,0.0,2.8756028768839315e-05
16140,beneficiary,1,phase3,0,continuity,0,,0.0,0.0001706503971945
16140,beneficiary,1,phase3,1,allocation,372,0.0,0.0,0.0044187107123434
16140,beneficiary,1,phase3,2,protection,0,,0.0,0.0011441097594797
16140,beneficiary,1,phase3,3,integrated,271,0.4501845018450184,0.262,0.0300404429435729
16140,beneficiary,1,all_phases,0,continuity,0,,0.0,0.0009011374204419
16140,beneficiary,1,all_phases,1,allocation,372,0.3817204301075269,0.346,0.1294216364622116
16140,beneficiary,1,all_phases,2,protection,0,,0.0,0.0049196952022612
16140,beneficiary,1,all_phases,3,integrated,271,0.4538745387453874,0.264,0.0302572529762983
16140,beneficiary,2,identity_role,0,continuity,0,,0.0,0.0
16140,beneficiary,2,identity_role,1,allocation,372,0.0,0.0,0.0
16140,beneficiary,2,identity_role,2,protection,0,,0.0,0.0
16140,beneficiary,2,identity_role,3,integrated,271,0.0,0.0,0.0
16140,beneficiary,2,beneficiary_role,0,continuity,0,,0.0,0.0
16140,beneficiary,2,beneficiary_role,1,allocation,372,0.0,0.0,0.0
16140,beneficiary,2,beneficiary_role,2,protection,0,,0.0,0.0
16140,beneficiary,2,beneficiary_role,3,integrated,271,0.0,0.0,0.0
16140,beneficiary,2,concern_context,0,continuity,0,,0.0,0.0
16140,beneficiary,2,concern_context,1,allocation,372,0.0,0.0,0.0
16140,beneficiary,2,concern_context,2,protection,0,,0.0,0.0
16140,beneficiary,2,concern_context,3,integrated,271,0.0,0.0,0.0
16140,beneficiary,2,entities,0,continuity,0,,0.0,0.0
16140,beneficiary,2,entities,1,allocation,372,0.0,0.0,0.0
16140,beneficiary,2,entities,2,protection,0,,0.0,0.0
16140,beneficiary,2,entities,3,integrated,271,0.0,0.0,0.0
16140,beneficiary,2,phase0,0,continuity,0,,0.0,0.001433523138985
16140,beneficiary,2,phase0,1,allocation,372,0.0,0.0,0.0
16140,beneficiary,2,phase0,2,protection,0,,0.0,0.0
16140,beneficiary,2,phase0,3,integrated,271,0.0,0.0,0.0
16140,beneficiary,2,phase1,0,continuity,0,,0.0,0.0
16140,beneficiary,2,phase1,1,allocation,372,1.0,0.744,0.2573580145835876
16140,beneficiary,2,phase1,2,protection,0,,0.0,0.0
16140,beneficiary,2,phase1,3,integrated,271,0.0,0.0,0.0
16140,beneficiary,2,phase2,0,continuity,0,,0.0,0.0
16140,beneficiary,2,phase2,1,allocation,372,0.0,0.0,0.0
16140,beneficiary,2,phase2,2,protection,0,,0.0,0.0118512120097875
16140,beneficiary,2,phase2,3,integrated,271,0.0,0.0,0.0
16140,beneficiary,2,phase3,0,continuity,0,,0.0,0.0
16140,beneficiary,2,phase3,1,allocation,372,0.0,0.0,0.0
16140,beneficiary,2,phase3,2,protection,0,,0.0,0.0
16140,beneficiary,2,phase3,3,integrated,271,1.0,0.542,0.0326524004340171
16140,beneficiary,2,all_phases,0,continuity,0,,0.0,0.001433523138985
16140,beneficiary,2,all_phases,1,allocation,372,1.0,0.744,0.2573580145835876
16140,beneficiary,2,all_phases,2,protection,0,,0.0,0.0118512120097875
16140,beneficiary,2,all_phases,3,integrated,271,1.0,0.542,0.0326524004340171
16140,concern,0,identity_role,0,continuity,0,,0.0,0.0
16140,concern,0,identity_role,1,allocation,0,,0.0,0.0
16140,concern,0,identity_role,2,protection,382,0.0,0.0,0.0
16140,concern,0,identity_role,3,integrated,180,0.0,0.0,0.0
16140,concern,0,beneficiary_role,0,continuity,0,,0.0,0.0
16140,concern,0,beneficiary_role,1,allocation,0,,0.0,0.0
16140,concern,0,beneficiary_role,2,protection,382,0.0,0.0,0.0
16140,concern,0,beneficiary_role,3,integrated,180,0.0,0.0,0.0
16140,concern,0,concern_context,0,continuity,0,,0.0,0.0025335559621453
16140,concern,0,concern_context,1,allocation,0,,0.0,0.0113186920061707
16140,concern,0,concern_context,2,protection,382,1.0,0.764,0.3057659864425659
16140,concern,0,concern_context,3,integrated,180,1.0,0.36,0.3153834342956543
16140,concern,0,entities,0,continuity,0,,0.0,0.0
16140,concern,0,entities,1,allocation,0,,0.0,0.0
16140,concern,0,entities,2,protection,382,0.0,0.0,0.0
16140,concern,0,entities,3,integrated,180,0.0,0.0,0.0
16140,concern,0,phase0,0,continuity,0,,0.0,0.0
16140,concern,0,phase0,1,allocation,0,,0.0,0.0
16140,concern,0,phase0,2,protection,382,0.0,0.0,0.0
16140,concern,0,phase0,3,integrated,180,0.0,0.0,0.0
16140,concern,0,phase1,0,continuity,0,,0.0,0.0
16140,concern,0,phase1,1,allocation,0,,0.0,0.0
16140,concern,0,phase1,2,protection,382,0.0,0.0,0.0
16140,concern,0,phase1,3,integrated,180,0.0,0.0,0.0
16140,concern,0,phase2,0,continuity,0,,0.0,0.0
16140,concern,0,phase2,1,allocation,0,,0.0,0.0
16140,concern,0,phase2,2,protection,382,0.0,0.0,0.0
16140,concern,0,phase2,3,integrated,180,0.0,0.0,0.0
16140,concern,0,phase3,0,continuity,0,,0.0,0.0
16140,concern,0,phase3,1,allocation,0,,0.0,0.0
16140,concern,0,phase3,2,protection,382,0.0,0.0,0.0
16140,concern,0,phase3,3,integrated,180,0.0,0.0,0.0
16140,concern,0,all_phases,0,continuity,0,,0.0,0.0
16140,concern,0,all_phases,1,allocation,0,,0.0,0.0
16140,concern,0,all_phases,2,protection,382,0.0,0.0,0.0
16140,concern,0,all_phases,3,integrated,180,0.0,0.0,0.0
16140,concern,1,identity_role,0,continuity,0,,0.0,0.0009769675089046
16140,concern,1,identity_role,1,allocation,0,,0.0,0.0002331065625185
16140,concern,1,identity_role,2,protection,382,0.0,0.0,0.0003312280459795
16140,concern,1,identity_role,3,integrated,180,0.0,0.0,0.0013148360885679
16140,concern,1,beneficiary_role,0,continuity,0,,0.0,5.962737486697733e-05
16140,concern,1,beneficiary_role,1,allocation,0,,0.0,0.0035921297967433
16140,concern,1,beneficiary_role,2,protection,382,0.0,0.0,0.0002626575005706
16140,concern,1,beneficiary_role,3,integrated,180,0.0,0.0,0.0016870241379365
16140,concern,1,concern_context,0,continuity,0,,0.0,0.0015762209659442
16140,concern,1,concern_context,1,allocation,0,,0.0,0.0096230804920196
16140,concern,1,concern_context,2,protection,382,0.7958115183246073,0.728,0.3466779887676239
16140,concern,1,concern_context,3,integrated,180,0.6,0.216,0.3165654838085174
16140,concern,1,entities,0,continuity,0,,0.0,0.0002808587742038
16140,concern,1,entities,1,allocation,0,,0.0,0.0054015438072383
16140,concern,1,entities,2,protection,382,0.0,0.0,0.0010861968621611
16140,concern,1,entities,3,integrated,180,0.0,0.0,0.0008989119669422
16140,concern,1,phase0,0,continuity,0,,0.0,0.0021110726520419
16140,concern,1,phase0,1,allocation,0,,0.0,0.0025801004376262
16140,concern,1,phase0,2,protection,382,0.0,0.0,0.0004094825999345
16140,concern,1,phase0,3,integrated,180,0.0,0.0,0.0002224628406111
16140,concern,1,phase1,0,continuity,0,,0.0,8.114680531434715e-05
16140,concern,1,phase1,1,allocation,0,,0.0,0.0121014360338449
16140,concern,1,phase1,2,protection,382,0.0,0.0,0.0008467456209473
16140,concern,1,phase1,3,integrated,180,0.0,0.0,0.0004283429589122
16140,concern,1,phase2,0,continuity,0,,0.0,0.0001290344225708
16140,concern,1,phase2,1,allocation,0,,0.0,0.004883833695203
16140,concern,1,phase2,2,protection,382,0.0366492146596858,0.166,0.065322645008564
16140,concern,1,phase2,3,integrated,180,0.0,0.0,0.0004259616544004
16140,concern,1,phase3,0,continuity,0,,0.0,0.0001311011292273
16140,concern,1,phase3,1,allocation,0,,0.0,0.0037010207306593
16140,concern,1,phase3,2,protection,382,0.0,0.0,0.0015051939990371
16140,concern,1,phase3,3,integrated,180,0.4333333333333333,0.156,0.0926840007305145
16140,concern,1,all_phases,0,continuity,0,,0.0,0.0021515015978366
16140,concern,1,all_phases,1,allocation,0,,0.0,0.010427663102746
16140,concern,1,all_phases,2,protection,382,0.0366492146596858,0.166,0.0650172978639602
16140,concern,1,all_phases,3,integrated,180,0.4222222222222222,0.152,0.0916376337409019
16140,concern,2,identity_role,0,continuity,0,,0.0,0.0
16140,concern,2,identity_role,1,allocation,0,,0.0,0.0
16140,concern,2,identity_role,2,protection,382,0.0,0.0,0.0
16140,concern,2,identity_role,3,integrated,180,0.0,0.0,0.0
16140,concern,2,beneficiary_role,0,continuity,0,,0.0,0.0
16140,concern,2,beneficiary_role,1,allocation,0,,0.0,0.0
