seed,condition,layer,factor,k,conflict_n,counterfactual_follow,random_follow,target_probe_transfer,offtarget_probe_stability,world_prediction_stability,policy_change_rate,cf_policy_change_rate
16121,unified_multitask,2,identity,1,298,0.0771812080536912,0.0,0.0,1.0,1.0,0.045,0.4966666666666666
16121,unified_multitask,2,identity,2,298,0.5167785234899329,0.0,0.0,1.0,1.0,0.2566666666666666,0.4966666666666666
16121,unified_multitask,2,identity,4,298,0.9966442953020134,0.0,0.0233333333333333,1.0,0.9977777777777778,0.5,0.4966666666666666
16121,unified_multitask,2,identity,8,298,1.0,0.0,0.9966666666666668,1.0,1.0,0.4966666666666666,0.4966666666666666
16121,unified_multitask,2,identity,16,298,1.0,0.0,1.0,1.0,1.0,0.4966666666666666,0.4966666666666666
16121,unified_multitask,2,beneficiary,1,341,0.1495601173020528,0.0,0.0,1.0,1.0,0.1283333333333333,0.5683333333333334
16121,unified_multitask,2,beneficiary,2,341,0.6334310850439883,0.0,0.0,1.0,1.0,0.4,0.5683333333333334
16121,unified_multitask,2,beneficiary,4,341,0.9794721407624634,0.0,0.2333333333333333,1.0,0.9947222222222222,0.5616666666666666,0.5683333333333334
16121,unified_multitask,2,beneficiary,8,341,1.0,0.0,1.0,1.0,0.9994444444444444,0.5683333333333334,0.5683333333333334
16121,unified_multitask,2,beneficiary,16,341,1.0,0.0,1.0,1.0,1.0,0.5683333333333334,0.5683333333333334
16121,unified_multitask,2,concern,1,211,0.0758293838862559,0.0,0.0,1.0,1.0,0.0266666666666666,0.3516666666666667
16121,unified_multitask,2,concern,2,211,0.943127962085308,0.0,0.0,1.0,1.0,0.335,0.3516666666666667
16121,unified_multitask,2,concern,4,211,0.995260663507109,0.0,0.005,1.0,1.0,0.35,0.3516666666666667
16121,unified_multitask,2,concern,8,211,1.0,0.0,1.0,1.0,1.0,0.3516666666666667,0.3516666666666667
16121,unified_multitask,2,concern,16,211,1.0,0.0,1.0,1.0,1.0,0.3516666666666667,0.3516666666666667
16122,unified_multitask,2,identity,1,265,0.1245283018867924,0.0,0.0,1.0,1.0,0.08,0.4416666666666666
16122,unified_multitask,2,identity,2,265,0.7584905660377359,0.0,0.0,1.0,1.0,0.3433333333333333,0.4416666666666666
16122,unified_multitask,2,identity,4,265,1.0,0.0,0.3116666666666666,1.0,1.0,0.4516666666666666,0.4416666666666666
16122,unified_multitask,2,identity,8,265,1.0,0.0,1.0,1.0,1.0,0.4416666666666666,0.4416666666666666
16122,unified_multitask,2,identity,16,265,1.0,0.0,1.0,1.0,1.0,0.4416666666666666,0.4416666666666666
16122,unified_multitask,2,beneficiary,1,327,0.091743119266055,0.0,0.0,1.0,1.0,0.1133333333333333,0.545
16122,unified_multitask,2,beneficiary,2,327,0.7247706422018348,0.0,0.0,1.0,1.0,0.4166666666666667,0.545
16122,unified_multitask,2,beneficiary,4,327,0.91131498470948,0.0,0.135,1.0,0.9836111111111112,0.5116666666666667,0.545
16122,unified_multitask,2,beneficiary,8,327,1.0,0.0,0.9983333333333332,1.0,0.9966666666666668,0.545,0.545
16122,unified_multitask,2,beneficiary,16,327,1.0,0.0,1.0,1.0,1.0,0.545,0.545
16122,unified_multitask,2,concern,1,191,0.0732984293193717,0.0,0.0,1.0,1.0,0.0233333333333333,0.3183333333333333
16122,unified_multitask,2,concern,2,191,0.9947643979057592,0.0,0.0,1.0,1.0,0.3166666666666666,0.3183333333333333
16122,unified_multitask,2,concern,4,191,0.9581151832460733,0.0,0.9716666666666668,1.0,1.0,0.3066666666666666,0.3183333333333333
16122,unified_multitask,2,concern,8,191,1.0,0.0,1.0,1.0,1.0,0.3183333333333333,0.3183333333333333
16122,unified_multitask,2,concern,16,191,1.0,0.0,1.0,1.0,1.0,0.3183333333333333,0.3183333333333333
