seed,rule_mode,kind,target,phase,state_idx,patch,conflict_n,base_gt_acc,cf_gt_acc,policy_follow_cf,policy_follow_cf_model,target_policy_change,non_target_policy_change,outcome_diff_n,outcome_closer_cf,outcome_mediation,model_output_shift,cf_model_gap
16216,packed,factor,concern,2,0,random_norm_relation_token,898,0.9755011200904846,0.9721603989601135,0.11358574777841568,0.14142540097236633,0.07666666805744171,0.019166667014360428,729,0.5281206965446472,-0.019971424713730812,0.02744714729487896,0.11427607387304306
16217,packed,factor,identity,0,0,matched_relation_token,908,0.9592510461807251,0.9526431560516357,0.9526431560516357,0.9999999403953552,0.6941666603088379,0.05666666850447655,908,0.9592510461807251,0.7923579216003418,0.35966888070106506,0.35966888070106506
16217,packed,factor,identity,0,0,random_norm_relation_token,908,0.9592510461807251,0.9526431560516357,0.32268720865249634,0.3281938135623932,0.2758333384990692,0.03888889029622078,908,0.725770890712738,0.15313102304935455,0.1500592976808548,0.35966888070106506
16217,packed,factor,beneficiary,1,0,matched_relation_token,890,0.49213483929634094,0.4876404404640198,0.4876404404640198,1.0,0.025833334773778915,0.05388889089226723,719,0.509040355682373,-0.0002524412702769041,0.006737809162586927,0.006737809162586927
16217,packed,factor,beneficiary,1,0,random_norm_relation_token,890,0.49213483929634094,0.4876404404640198,0.49101123213768005,0.9651685357093811,0.05000000074505806,0.03722222149372101,719,0.46175244450569153,-0.02252413146197796,0.01612776704132557,0.006737809162586927
16217,packed,factor,concern,2,0,matched_relation_token,897,0.5406911969184875,0.49944260716438293,0.49944260716438293,1.0,0.78083336353302,0.09833333641290665,750,0.6013333201408386,-0.3367924094200134,0.26109880208969116,0.26109880208969116
16217,packed,factor,concern,2,0,random_norm_relation_token,897,0.5406911969184875,0.49944260716438293,0.15607580542564392,0.3010033667087555,0.0741666704416275,0.046666666865348816,750,0.5826666355133057,-0.01732631027698517,0.0414276197552681,0.26109880208969116
16218,packed,factor,identity,0,0,matched_relation_token,908,0.9955946803092957,0.9867841005325317,0.9867841005325317,0.9999999403953552,0.7441666722297668,0.1552777886390686,908,0.9999999403953552,0.9185624718666077,0.4464811384677887,0.4464811384677887
16218,packed,factor,identity,0,0,random_norm_relation_token,908,0.9955946803092957,0.9867841005325317,0.22466959059238434,0.23568281531333923,0.19333334267139435,0.07833333313465118,908,0.7533039450645447,0.24023103713989258,0.13929180800914764,0.4464811384677887
16218,packed,factor,beneficiary,1,0,matched_relation_token,925,0.8994594812393188,0.8994594812393188,0.8994594812393188,1.0,0.7850000262260437,0.18611112236976624,732,0.7909835577011108,0.274527370929718,0.12246000021696091,0.12246000021696091
16218,packed,factor,beneficiary,1,0,random_norm_relation_token,925,0.8994594812393188,0.8994594812393188,0.2821621596813202,0.3145945966243744,0.2874999940395355,0.10611111670732498,732,0.5396174788475037,-0.03671041876077652,0.06288184225559235,0.12246000021696091
16218,packed,factor,concern,2,0,matched_relation_token,888,0.971846878528595,0.957207202911377,0.957207202911377,1.0,0.7583333253860474,0.09777778387069702,694,0.9265129566192627,0.5249693393707275,0.12269521504640579,0.12269521504640579
16218,packed,factor,concern,2,0,random_norm_relation_token,888,0.971846878528595,0.957207202911377,0.061936937272548676,0.06418918818235397,0.10833333432674408,0.012222222983837128,694,0.5778098106384277,0.021132631227374077,0.04110271856188774,0.12269521504640579
16219,packed,factor,identity,0,0,matched_relation_token,914,0.9660831689834595,0.9770240783691406,0.9770240783691406,1.0,0.7200000286102295,0.14000000059604645,914,0.9814004302024841,0.8563769459724426,0.4129570722579956,0.4129570722579956
16219,packed,factor,identity,0,0,random_norm_relation_token,914,0.9660831689834595,0.9770240783691406,0.260393887758255,0.2658643424510956,0.21250000596046448,0.03750000149011612,914,0.6859956383705139,0.18526194989681244,0.13988110423088074,0.4129570722579956
16219,packed,factor,beneficiary,1,0,matched_relation_token,905,0.9767955541610718,0.9690607190132141,0.9690607190132141,0.9999999403953552,0.7425000071525574,0.17472222447395325,742,0.9029649496078491,0.42859917879104614,0.09820492565631866,0.09820492565631866
16219,packed,factor,beneficiary,1,0,random_norm_relation_token,905,0.9767955541610718,0.9690607190132141,0.05745856091380119,0.06519336998462677,0.06583333760499954,0.05194444581866264,742,0.5498652458190918,0.01113531831651926,0.0301083792001009,0.09820492565631866
16219,packed,factor,concern,2,0,matched_relation_token,871,0.9896669983863831,0.9908151030540466,0.9908151030540466,1.0,0.7166666984558105,0.09416666626930237,702,0.8319088220596313,0.29804909229278564,0.1194661483168602,0.1194661483168602
16219,packed,factor,concern,2,0,random_norm_relation_token,871,0.9896669983863831,0.9908151030540466,0.013777267187833786,0.019517794251441956,0.025833334773778915,0.012222222983837128,702,0.44017094373703003,-0.07206621766090393,0.038585931062698364,0.1194661483168602
16220,packed,factor,identity,0,0,matched_relation_token,919,0.516866147518158,0.4918389320373535,0.4918389320373535,1.0,0.03333333507180214,0.007777777966111898,919,0.4755168557167053,3.6018327591591515e-06,0.003038284834474325,0.003038284834474325
16220,packed,factor,identity,0,0,random_norm_relation_token,919,0.516866147518158,0.4918389320373535,0.4755168557167053,0.8857453465461731,0.08583333343267441,0.027499999850988388,919,0.4787812829017639,-0.0018084126058965921,0.007669324986636639,0.003038284834474325
16220,packed,factor,beneficiary,1,0,matched_relation_token,899,0.5005561709403992,0.49944379925727844,0.49944379925727844,0.9999999403953552,0.009999999776482582,0.010277777910232544,724,0.47790056467056274,0.0003244625113438815,0.0039525763131678104,0.0039525763131678104
16220,packed,factor,beneficiary,1,0,random_norm_relation_token,899,0.5005561709403992,0.49944379925727844,0.49721911549568176,0.9710789322853088,0.023333333432674408,0.028333334252238274,724,0.46823206543922424,-0.017514174804091454,0.009425570257008076,0.0039525763131678104
16220,packed,factor,concern,2,0,matched_relation_token,890,1.0,1.0,1.0,1.0,0.7416666746139526,0.10222222656011581,727,0.960110068321228,0.5799331665039062,0.09503207355737686,0.09503207355737686
16220,packed,factor,concern,2,0,random_norm_relation_token,890,1.0,1.0,0.006741573102772236,0.006741573102772236,0.004999999888241291,0.0325000025331974,727,0.49931225180625916,0.014401537366211414,0.014779600314795971,0.09503207355737686
16221,packed,factor,identity,0,0,matched_relation_token,887,0.9718150496482849,0.9751972556114197,0.9751972556114197,0.9999999403953552,0.7033333778381348,0.14527778327465057,887,0.9808342456817627,0.8085757493972778,0.3878830671310425,0.3878830671310425
