factor,layer,phase,patch,mean_follow,min_follow,max_follow,mean_policy_change,mean_outcome_change,total_conflicts
beneficiary,1,3,cross_plus_phase,0.3941455395737042,0.003636363660916686,0.9241877198219299,0.2553333378552149,0.03321785277997454,823
beneficiary,1,3,entities_plus_phase,0.7507337927818298,0.3099631071090698,1.0,0.4426666796207428,0.04974797492225965,823
beneficiary,1,3,own_plus_phase,0.6629766225814819,0.0,1.0,0.3633333444595337,0.0337469931691885,823
beneficiary,1,3,own_role,0.1708384919911623,0.0,0.4944649338722229,0.1140000019222498,0.018998567247763276,823
beneficiary,1,3,phase_only,0.39539345105489093,0.0,0.9241877198219299,0.25600000222524005,0.0329320696182549,823
beneficiary,1,3,random_norm_own_plus_phase,0.03783730914195379,0.0,0.07380073517560959,0.05800000081459681,0.07387131173163652,823
beneficiary,1,3,shuffled_own_plus_phase,0.23814782003561655,0.1090909093618393,0.3249097466468811,0.4933333396911621,0.1746662805477778,823
beneficiary,2,1,cross_plus_phase,1.0,1.0,1.0,0.7426666816075643,0.2656401991844177,1114
beneficiary,2,1,entities_plus_phase,1.0,1.0,1.0,0.7426666816075643,0.2656401991844177,1114
beneficiary,2,1,own_plus_phase,1.0,1.0,1.0,0.7426666816075643,0.2656401991844177,1114
beneficiary,2,1,own_role,0.0,0.0,0.0,0.0,0.0,1114
beneficiary,2,1,phase_only,1.0,1.0,1.0,0.7426666816075643,0.2656401991844177,1114
beneficiary,2,1,random_norm_own_plus_phase,0.011700451374053955,0.005571030545979738,0.02179836481809616,0.03933333419263363,0.17571737865606943,1114
beneficiary,2,1,shuffled_own_plus_phase,0.31775808334350586,0.2888283431529999,0.36082473397254944,0.6213333408037821,0.2915487190087636,1114
beneficiary,2,3,cross_plus_phase,1.0,1.0,1.0,0.5486666758855184,0.049498364329338074,823
beneficiary,2,3,entities_plus_phase,1.0,1.0,1.0,0.5486666758855184,0.049498364329338074,823
beneficiary,2,3,own_plus_phase,1.0,1.0,1.0,0.5486666758855184,0.049498364329338074,823
beneficiary,2,3,own_role,0.0,0.0,0.0,0.0,0.0,823
beneficiary,2,3,phase_only,1.0,1.0,1.0,0.5486666758855184,0.049498364329338074,823
beneficiary,2,3,random_norm_own_plus_phase,0.029155272369583447,0.02545454539358616,0.03249097615480423,0.04866666719317436,0.13903245081504187,823
beneficiary,2,3,shuffled_own_plus_phase,0.25373290479183197,0.22140221297740936,0.2779783308506012,0.7280000249544779,0.2974860668182373,823
concern,0,2,cross_plus_phase,0.0,0.0,0.0,0.0,0.0,1056
concern,0,2,entities_plus_phase,0.0,0.0,0.0,0.0,0.0,1056
concern,0,2,own_plus_phase,1.0,1.0,1.0,0.7039999961853027,0.29598859945933026,1056
concern,0,2,own_role,1.0,1.0,1.0,0.7039999961853027,0.29598859945933026,1056
concern,0,2,phase_only,0.0,0.0,0.0,0.0,0.0,1056
concern,0,2,random_norm_own_plus_phase,0.04501029538611571,0.01994301937520504,0.08746355772018433,0.04133333389957746,0.04599627976616224,1056
concern,0,2,shuffled_own_plus_phase,0.4817639887332916,0.4518950581550598,0.5099714994430542,0.3393333355585734,0.1434637208779653,1056
concern,0,3,cross_plus_phase,0.0,0.0,0.0,0.0,0.0,431
concern,0,3,entities_plus_phase,0.0,0.0,0.0,0.0,0.0,431
