seed,factor,phase,patch,conflict_n,policy_follow,policy_change,outcome_diff_n,outcome_closer_cf,outcome_mediation,model_output_shift,cf_model_gap
16160,concern,3,entities_phase,140,0.05714285746216774,0.017999999225139618,361,0.7396121621131897,0.04771779477596283,0.03310283645987511,0.24529266357421875
16160,concern,3,full_relation_coalition,140,1.0,0.28200000524520874,361,0.9335179924964905,0.6215692162513733,0.24493277072906494,0.24529266357421875
16160,concern,3,shuffled_full,140,0.3214285671710968,0.7160000205039978,361,0.4598338007926941,-0.7409065365791321,0.3354320228099823,0.24529266357421875
16160,concern,3,random_norm_full,140,0.0357142873108387,0.01600000075995922,361,0.5429362654685974,0.001382920891046524,0.041253864765167236,0.24529266357421875
16161,identity,0,role_only,371,0.010781670920550823,0.00800000037997961,371,0.7088949084281921,0.03590176999568939,0.032745540142059326,0.4743506610393524
16161,identity,0,entities_only,371,0.9892183542251587,0.734000027179718,371,1.0,0.9061212539672852,0.4572063088417053,0.4743506610393524
16161,identity,0,phase_only,371,0.0,0.0,371,0.5741239786148071,0.00014691388059873134,0.0003895152185577899,0.4743506610393524
16161,identity,0,role_phase,371,0.010781670920550823,0.00800000037997961,371,0.7142857313156128,0.03635159507393837,0.03285274654626846,0.4743506610393524
16161,identity,0,entities_phase,371,0.9892183542251587,0.734000027179718,371,1.0,0.9063586592674255,0.4572850465774536,0.4743506610393524
16161,identity,0,full_relation_coalition,371,1.0,0.7419999837875366,371,1.0,0.9556633234024048,0.4711121618747711,0.4743506610393524
16161,identity,0,shuffled_full,371,0.3396226465702057,0.6399999856948853,371,0.6819406747817993,0.28972694277763367,0.4348868429660797,0.4743506610393524
16161,identity,0,random_norm_full,371,0.07547169923782349,0.09399999678134918,371,0.6954177618026733,0.09296468645334244,0.07773705571889877,0.4743506610393524
16161,identity,3,role_only,230,0.269565224647522,0.13600000739097595,0,,,0.040364090353250504,0.05761459842324257
16161,identity,3,entities_only,230,0.4739130437374115,0.24199999868869781,0,,,0.07293187826871872,0.05761459842324257
16161,identity,3,phase_only,230,0.0,0.0,0,,,0.0031433904077857733,0.05761459842324257
16161,identity,3,role_phase,230,0.269565224647522,0.13600000739097595,0,,,0.04082474857568741,0.05761459842324257
16161,identity,3,entities_phase,230,0.4739130437374115,0.24199999868869781,0,,,0.0731220617890358,0.05761459842324257
16161,identity,3,full_relation_coalition,230,0.852173924446106,0.39399999380111694,0,,,0.07200493663549423,0.05761459842324257
16161,identity,3,shuffled_full,230,0.260869562625885,0.7260000109672546,0,,,0.34110626578330994,0.05761459842324257
16161,identity,3,random_norm_full,230,0.13913042843341827,0.10400000214576721,0,,,0.07128796726465225,0.05761459842324257
16161,beneficiary,1,role_only,375,0.00800000037997961,0.006000000052154064,350,0.5400000214576721,0.017121581360697746,0.04241025820374489,0.20444172620773315
16161,beneficiary,1,entities_only,375,1.0,0.75,350,0.9399999976158142,0.6084479689598083,0.21492648124694824,0.20444172620773315
16161,beneficiary,1,phase_only,375,0.0,0.0,350,0.46000000834465027,-0.0014446612913161516,0.0021004376467317343,0.20444172620773315
16161,beneficiary,1,role_phase,375,0.01066666655242443,0.00800000037997961,350,0.5371428728103638,0.01649092324078083,0.04242553561925888,0.20444172620773315
16161,beneficiary,1,entities_phase,375,1.0,0.75,350,0.9371428489685059,0.6078711152076721,0.2148984670639038,0.20444172620773315
16161,beneficiary,1,full_relation_coalition,375,1.0,0.75,350,0.9742857217788696,0.659069836139679,0.19959594309329987,0.20444172620773315
16161,beneficiary,1,shuffled_full,375,0.29600000381469727,0.6119999885559082,350,0.4114285707473755,-0.6464318037033081,0.33761951327323914,0.20444172620773315
16161,beneficiary,1,random_norm_full,375,0.06400000303983688,0.1459999978542328,350,0.4828571379184723,-0.14696334302425385,0.1135096624493599,0.20444172620773315
16161,beneficiary,3,role_only,301,0.08970099687576294,0.057999998331069946,0,,,0.030850229784846306,0.06341421604156494
16161,beneficiary,3,entities_only,301,0.564784049987793,0.4320000112056732,0,,,0.07333271205425262,0.06341421604156494
16161,beneficiary,3,phase_only,301,0.0,0.0,0,,,0.002469653030857444,0.06341421604156494
16161,beneficiary,3,role_phase,301,0.08970099687576294,0.057999998331069946,0,,,0.031095754355192184,0.06341421604156494
16161,beneficiary,3,entities_phase,301,0.564784049987793,0.4320000112056732,0,,,0.07337203621864319,0.06341421604156494
16161,beneficiary,3,full_relation_coalition,301,0.7176079750061035,0.47999998927116394,0,,,0.0641523152589798,0.06341421604156494
16161,beneficiary,3,shuffled_full,301,0.21926909685134888,0.6959999799728394,0,,,0.3332025706768036,0.06341421604156494
16161,beneficiary,3,random_norm_full,301,0.09302325546741486,0.11599999666213989,0,,,0.07658249139785767,0.06341421604156494
16161,concern,2,role_only,393,0.0,0.0,377,0.5968169569969177,0.005361631512641907,0.009453931823372841,0.2698647379875183
16161,concern,2,entities_only,393,0.0,0.0,377,0.29708221554756165,-0.023934725672006607,0.013785053975880146,0.2698647379875183
16161,concern,2,phase_only,393,1.0,0.7860000133514404,377,0.9840849041938782,0.7955799102783203,0.27359244227409363,0.2698647379875183
16161,concern,2,role_phase,393,1.0,0.7860000133514404,377,0.9867374300956726,0.8009130954742432,0.27391713857650757,0.2698647379875183
16161,concern,2,entities_phase,393,1.0,0.7860000133514404,377,0.9814323782920837,0.8042746782302856,0.27074187994003296,0.2698647379875183
16161,concern,2,full_relation_coalition,393,1.0,0.7860000133514404,377,0.9814323782920837,0.8092228770256042,0.2709670960903168,0.2698647379875183
16161,concern,2,shuffled_full,393,0.3333333432674408,0.5419999957084656,377,0.49071618914604187,-0.45817720890045166,0.32746800780296326,0.2698647379875183
16161,concern,2,random_norm_full,393,0.038167938590049744,0.10999999940395355,377,0.517241358757019,-0.10385006666183472,0.1319163292646408,0.2698647379875183
16161,concern,3,role_only,143,0.0,0.0,377,0.7533156275749207,0.0060846805572509766,0.005290506407618523,0.2533164918422699
16161,concern,3,entities_only,143,0.0139860138297081,0.004000000189989805,377,0.22546419501304626,-0.04937039315700531,0.019120456650853157,0.2533164918422699
16161,concern,3,phase_only,143,1.0,0.28600001335144043,377,0.9496021270751953,0.6779477596282959,0.26033055782318115,0.2533164918422699
16161,concern,3,role_phase,143,1.0,0.28600001335144043,377,0.9522546529769897,0.6767548322677612,0.26278942823410034,0.2533164918422699
16161,concern,3,entities_phase,143,1.0,0.28600001335144043,377,0.9522546529769897,0.6873583197593689,0.25417494773864746,0.2533164918422699
16161,concern,3,full_relation_coalition,143,1.0,0.28600001335144043,377,0.9522546529769897,0.6875531673431396,0.2563491463661194,0.2533164918422699
16161,concern,3,shuffled_full,143,0.2937062978744507,0.7080000042915344,377,0.4774535894393921,-0.5974608659744263,0.33747124671936035,0.2533164918422699
16161,concern,3,random_norm_full,143,0.0559440553188324,0.04399999976158142,377,0.49071618914604187,-0.06460273265838623,0.10468984395265579,0.2533164918422699
16162,identity,0,role_only,376,0.0,0.0,376,0.48404255509376526,-0.0009648833074606955,0.0029877484776079655,0.465763121843338
16162,identity,0,entities_only,376,0.9893617033958435,0.7440000176429749,376,1.0,0.9548307657241821,0.4655066430568695,0.465763121843338
